Grid_ID,Latitude,Longitude,Area_Name,Neighbourhood,Suburb,Town,City,City_District,County,State_District,Postcode,Display_Name
8401_1435,12.895256916996049,77.4505814838062,Challaghatta,,Challaghatta,,,Challagatta,Bangalore South,Bengaluru Urban,560060,"Challaghatta, Challagatta, Kumbalagodu, Bangalore South, Bengaluru Urban, Karnataka, 560060, India"
8401_1436,12.904240028745958,77.4505814838062,Challaghatta,,Challaghatta,,,Challagatta,Bangalore South,Bengaluru Urban,560060,"Challaghatta, Challagatta, Kumbalagodu, Bangalore South, Bengaluru Urban, Karnataka, 560060, India"
8401_1437,12.913223140495868,77.4505814838062,6th Block,,,,,Bheemanakuppe,Bangalore South,Bengaluru Urban,560060,"6th Block, Bheemanakuppe, Bangalore South, Bengaluru Urban, Karnataka, 560060, India"
8401_1438,12.922206252245775,77.4505814838062,Nadaprabhu Kempegowda Layout,,Nadaprabhu Kempegowda Layout,,,Kommagatta,Bangalore South,Bengaluru Urban,560060,"7th Block, Nadaprabhu Kempegowda Layout, Kommagatta, Bangalore South, Bengaluru Urban, Karnataka, 560060, India"
8401_1439,12.931189363995689,77.4505814838062,Sulikere,,Sulikere,,,Sulikere,Bangalore South,Bengaluru Urban,560060,"8th Block, Sulikere, Bangalore South, Bengaluru Urban, Karnataka, 560060, India"
8401_1440,12.940172475745598,77.4505814838062,Sulikere,,Sulikere,,,Sulikere,Bangalore South,Bengaluru Urban,560060,"8th Block, Sulikere, Bangalore South, Bengaluru Urban, Karnataka, 560060, India"
8401_1441,12.94915558749551,77.4505814838062,9th Block,,,,,Kenchanapura,Bangalore South,Bengaluru Urban,560060,"9th Block, Kenchanapura, Bangalore South, Bengaluru Urban, Karnataka, 560060, India"
8401_1442,12.95813869924542,77.4505814838062,9th Block,,,,,Kenchanapura,Bangalore South,Bengaluru Urban,560060,"9th Block, Kenchanapura, Bangalore South, Bengaluru Urban, Karnataka, 560060, India"
8401_1443,12.967121810995328,77.4505814838062,2nd Block,,,,,Kannahalli,Bangalore North,Bengaluru Urban,560112,"2nd Block, Kannahalli, Bangalore North, Bengaluru Urban, Karnataka, 560112, India"
8401_1444,12.97610492274524,77.4505814838062,Shigehalli,,,,,Shigehalli,Bangalore North,Bengaluru Urban,,"Shigehalli, Bangalore North, Bengaluru Urban, Karnataka, India"
8401_1445,12.98508803449515,77.4505814838062,1st Block,,,,,Kodigehalli,Bangalore North,Bengaluru Urban,560112,"1st Block, Kodigehalli, Bangalore North, Bengaluru Urban, Karnataka, 560112, India"
8401_1446,12.99407114624506,77.4505814838062,Machohalli,,,,,,Bangalore North,Bengaluru Urban,562130,"Bayyandahalli, Machohalli, Bangalore North, Bengaluru Urban, Karnataka, 562130, India"
8401_1447,13.00305425799497,77.4505814838062,Machohalli,,,,,,Bangalore North,Bengaluru Urban,562130,"Bayyandahalli, Machohalli, Bangalore North, Bengaluru Urban, Karnataka, 562130, India"
8401_1448,13.01203736974488,77.4505814838062,Machohalli,,,,,,Bangalore North,Bengaluru Urban,560091,"Vaddarahalli, Machohalli, Bangalore North, Bengaluru Urban, Karnataka, 560091, India"
