Cluster_ID,Dominant_Locality,Localities,Center_Latitude,Center_Longitude,Total_Cells,Cluster_Area_km2,High_Cells,Very_High_Cells,Mean_Median_LST,Maximum_LST,Mean_Heat_Score,Maximum_Heat_Score,Mean_Hot_Frequency,Mean_Tree_Probability,Mean_Built_Probability,Average_Greening_Percent,Total_Trees_To_Plant,Tree_Canopy_Target_m2,Non_Tree_Cooling_Area_m2,Strong_Cells,Moderate_Reliability_Cells,Limited_Cells,Model_Only_Cells,Dominant_Planning_Reliability,Mean_Hot_Frequency_Percent,Mean_Tree_Probability_Percent,Mean_Built_Probability_Percent,Cluster_Rank_Score,Cluster_Rank
69,Sulikunte,"Sulikunte, Dommasandra, Gunjur, Heggondahalli, Mulluru, Panathur, Kachamaranahalli, Halasahalli",12.902858011553663,77.73777823439508,13,13,10,3,37.510326401207706,47.46545163050004,53.06885729719662,65.45166832548016,0.3176739926739926,0.05043378939978032,0.47711561599385305,12.200639546593047,32385,971328.9227946931,614754.218262403,2,4,4,3,Limited,31.76739926739926,5.043378939978032,47.711561599385305,48.905075026280684,46
16,Aivarakandapura,Aivarakandapura,13.146784045993533,77.49667478945626,1,1,1,0,42.33983156375004,46.92863449940003,55.56249848528575,55.56249848528575,0.5,0.1712103863246738,0.054604995297268,10.1241347915708,2869,86055.1457283518,15186.202187356204,0,1,0,0,Moderate,50.0,17.121038632467382,5.4604995297268,48.893748939700025,47
43,Chikkathoguru,Chikkathoguru,12.859324469996409,77.64417336753648,1,1,1,0,39.96732406640002,46.47904523870002,55.541086827459466,55.541086827459466,0.5,0.1086673197569325,0.3716881169239059,10.70806160785444,2499,74956.43125498109,32124.18482356332,0,1,0,0,Moderate,50.0,10.86673197569325,37.16881169239059,48.87876077922162,48
59,Gunjur,Gunjur,12.913223140495868,77.69948533431655,1,1,1,0,39.26847569719999,43.36239206210004,55.54677040858181,55.54677040858181,0.4,0.0313945449888706,0.6270099515095353,11.245570680467024,1875,56227.85340233512,56227.85340233512,0,1,0,0,Moderate,40.0,3.13945449888706,62.70099515095353,46.882739286007265,49
6,Ullal,"Ullal, Nagadevanahalli, Manganahalli, Jnana Bharathi Ward",12.94915558749551,77.48482222514625,7,7,6,1,37.146816687650016,47.27351271740006,52.63998701979009,60.14084456749654,0.3343537414965986,0.0381189142186853,0.708900133116255,12.092222964255722,11557,346592.00730310974,499863.6001947907,2,3,2,0,Moderate,33.43537414965986,3.8118914218685305,70.8900133116255,46.838851559283086,50
12,Badamanavarthekaval,Badamanavarthekaval,12.868307581746317,77.48745612832626,1,1,1,0,40.58652402455,44.63755278350002,51.96678414626408,51.96678414626408,0.5,0.1244740040274336,0.0686267355922609,10.174635593914386,2883,86484.40254827228,15261.953390871582,0,1,0,0,Moderate,50.0,12.44740040274336,6.86267355922609,46.37674890238486,51
4,Mattahalli,Mattahalli,13.106360043118936,77.4551908143712,2,2,2,0,39.736065105725025,48.317666557099976,52.82510468630395,55.3527071977591,0.41666666666666663,0.12099951429991045,0.2555517824366689,10.456455329448747,5926,177759.74060062872,31369.36598834624,0,2,0,0,Moderate,41.666666666666664,12.099951429991044,25.555178243666887,45.94280724160989,52
25,Sadashiva Nagara,"Sadashiva Nagara, Kuvempu Ward, Gangenahalli, Jaya Chamarajendra Nagara, Manorayanapalya",13.018026110911485,77.5842520701914,6,6,5,1,37.09298856935002,44.82737252420001,51.25431490153401,55.74651417319316,0.31666666666666665,0.03531125253842515,0.7025120623972422,12.182314178052387,10496,314771.8786545632,416166.97202858,3,3,0,0,Moderate,31.666666666666664,3.5311252538425153,70.25120623972421,45.0010702489886,53
66,Chikkasandra,"Chikkasandra, Marasandra",13.097376931369027,77.71331332601157,2,2,2,0,39.104427827300015,48.55762865120004,52.45100868487441,54.18507598926402,0.38095238095238093,0.05970869970042256,0.21969894191715858,10.55122628618548,5436,163050.25430245,47974.271421259604,1,1,0,0,Strong,38.095238095238095,5.970869970042256,21.96989419171586,44.76827052455711,54
19,Vinayaka Layout,Vinayaka Layout,12.967121810995328,77.50589345058627,1,1,1,0,36.54492900080003,42.14448317570003,51.88233303300193,51.88233303300193,0.4,0.0324083501473069,0.7312525445595384,11.298097598387567,1319,39543.34159435649,73437.6343895192,0,1,0,0,Moderate,40.0,3.2408350147306897,73.12525445595384,44.317633123101345,55
